index,City,Date,Card Type,Exp Type,Gender,Amount,Customer_Age,Education_Level,Marital_Status
0,"Delhi, India",29-Oct-14,Gold,Bills,F,82475,45,High School,Married
1,"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,32555,49,Graduate,Single
2,"Bengaluru, India",27-Aug-14,Silver,Bills,F,101738,51,Graduate,Married
3,"Greater Mumbai, India",12-Apr-14,Signature,Bills,F,123424,40,High School,Unknown
4,"Bengaluru, India",05-May-15,Gold,Bills,F,171574,40,Uneducated,Married
5,"Delhi, India",08-Sep-14,Silver,Bills,F,100036,44,Graduate,Married
6,"Delhi, India",24-Feb-15,Gold,Bills,F,143250,51,Unknown,Married
7,"Greater Mumbai, India",26-Jun-14,Platinum,Bills,F,150980,32,High School,Unknown
8,"Delhi, India",28-Mar-14,Silver,Bills,F,192247,37,Uneducated,Single
9,"Delhi, India",01-Sep-14,Platinum,Bills,F,67932,48,Graduate,Single
10,"Delhi, India",22-Jun-14,Platinum,Bills,F,280061,42,Uneducated,Unknown
11,"Greater Mumbai, India",07-Dec-13,Signature,Bills,F,278036,65,Unknown,Married
12,"Greater Mumbai, India",07-Aug-14,Gold,Bills,F,19226,56,College,Single
13,"Delhi, India",27-Apr-14,Signature,Bills,F,254359,35,Graduate,Unknown
14,"Greater Mumbai, India",15-Aug-14,Signature,Bills,F,302834,57,Graduate,Married
15,"Greater Mumbai, India",28-Nov-14,Platinum,Bills,F,647116,44,Unknown,Unknown
16,"Greater Mumbai, India",14-Jun-14,Signature,Bills,F,421878,48,Post-Graduate,Single
17,"Greater Mumbai, India",30-Mar-15,Gold,Bills,F,986379,41,Unknown,Married
18,"Greater Mumbai, India",15-Mar-14,Platinum,Bills,F,213047,61,High School,Married
19,"Greater Mumbai, India",09-Nov-13,Platinum,Bills,F,735566,45,Graduate,Married
20,"Delhi, India",04-Apr-14,Signature,Bills,F,366102,47,Doctorate,Divorced
21,"Delhi, India",01-Jul-14,Signature,Bills,F,809623,62,Graduate,Married
22,"Greater Mumbai, India",27-Mar-15,Silver,Bills,F,467014,41,High School,Married
23,"Ahmedabad, India",11-Oct-13,Gold,Bills,F,668568,47,Unknown,Single
24,"Ahmedabad, India",26-Mar-14,Gold,Bills,F,339112,54,Unknown,Married
25,"Delhi, India",27-Sep-14,Silver,Bills,F,622170,41,Graduate,Single
26,"Bengaluru, India",23-Mar-14,Platinum,Bills,F,434427,59,High School,Unknown
27,"Greater Mumbai, India",17-May-14,Signature,Bills,F,655846,63,Unknown,Married
28,"Bengaluru, India",18-Jan-15,Platinum,Bills,F,987935,44,Uneducated,Single
29,"Delhi, India",18-Apr-15,Gold,Bills,F,702774,47,High School,Married
30,"Bengaluru, India",31-Jul-14,Signature,Bills,F,225392,53,Unknown,Married
31,"Greater Mumbai, India",11-Feb-15,Gold,Bills,F,296573,53,Uneducated,Married
32,"Ahmedabad, India",24-Nov-13,Platinum,Bills,F,227702,41,Graduate,Married
33,"Ahmedabad, India",08-Nov-14,Gold,Bills,F,864090,53,College,Married
34,"Ahmedabad, India",06-Sep-14,Signature,Bills,F,440605,58,Graduate,Married
35,"Ahmedabad, India",24-Mar-15,Platinum,Bills,F,954660,55,College,Single
36,"Ahmedabad, India",01-Jan-14,Signature,Bills,F,255577,55,Graduate,Married
37,"Ahmedabad, India",12-Jul-14,Silver,Bills,F,337352,42,High School,Married
38,"Ahmedabad, India",04-Feb-14,Platinum,Bills,F,660244,57,Graduate,Unknown
39,"Delhi, India",03-Feb-15,Silver,Bills,F,401351,66,Doctorate,Married
